item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;on_change_alarm;param1_brand;param2_model;param3_stream_mjpeg;param6_preset;param7_features;param9_onvif_hostname;param10_onvif_username;param11_onvif_password;param12_onvif_ptz_params;sentido;data_proxy
11;1;SAEB-CAM-004;SAEB-CAM-004;SAEB-CAM-004;AVO;SAEB-ZON-003;Secc.01-86-02;0+29;290;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-004;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.18/snap.jpg?JpegCam=1
12;1;SAEB-CAM-005;SAEB-CAM-005;SAEB-CAM-005;AVO;S1TN-ZON-003;Secc.01-86-02;0+30;300;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-005;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.19/snap.jpg?JpegCam=1
13;1;SAEB-CAM-006;SAEB-CAM-006;SAEB-CAM-006;AVO;SAEB-ZON-004;Secc.01-86-02;0+33;325;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-006;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.20/snap.jpg?JpegCam=1
14;3;SCNO-DOM-001;SCNO-DOM-001;SCNO-DOM-001;AVO;SCNO-ZON-002;Secc.01-25-01;0+35;345;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SCNO-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.14;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.14/snap.jpg?JpegCam=1
15;1;SCNO-CAM-004;SCNO-CAM-004;SCNO-CAM-004;AVO;SCNO-ZON-003;Secc.01-25-01;0+35;350;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-004;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.12/snap.jpg?JpegCam=1
16;1;SAEB-CAM-007;SAEB-CAM-007;SAEB-CAM-007;AVO;SAEB-ZON-004;Secc.01-86-02;0+36;360;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-007;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.21/snap.jpg?JpegCam=1
17;1;SCNO-CAM-005;SCNO-CAM-005;SCNO-CAM-005;AVO;SCNO-ZON-004;Secc.01-25-01;0+39;390;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-005;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.13/snap.jpg?JpegCam=1
18;1;SCNO-CAM-006;SCNO-CAM-006;SCNO-CAM-006;AVO;SCNO-ZON-004;Secc.01-25-01;0+45;445;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-006;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.15/snap.jpg?JpegCam=1
19;3;SAEB-DOM-001;SAEB-DOM-001;SAEB-DOM-001;AVO;S1TN_EXT;Secc.01-86-02;0+48;480;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SAEB-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.4.22;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.4.22/snap.jpg?JpegCam=1
20;1;SCNO-CAM-007;SCNO-CAM-007;SCNO-CAM-007;AVO;SCNO-ZON-005;Secc.01-25-01;0+50;500;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-007;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.16/snap.jpg?JpegCam=1
21;3;SCNO-DOM-002;SCNO-DOM-002;SCNO-DOM-002;AVO;SCNO-ZON-005;Secc.01-25-01;0+58;580;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SCNO-DOM-002;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.18;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.18/snap.jpg?JpegCam=1
22;1;SCNO-CAM-008;SCNO-CAM-008;SCNO-CAM-008;AVO;SCNO-ZON-005;Secc.01-25-01;0+60;600;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-008;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.17/snap.jpg?JpegCam=1
23;3;S1TS-DOM-001;S1TS-DOM-001;S1TS-DOM-001;AVO;S1TN_EXT;Secc.01-10-14;36+92;620;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.21.7;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.21.7/snap.jpg?JpegCam=1
24;1;S1TS-CAM-001;S1TS-CAM-001;S1TS-CAM-001;AVO;S1TS-ZON-001;Secc.01-10-01;36+95;650;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-001;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.21.6/snap.jpg?JpegCam=1
25;3;SCNO-DOM-003;SCNO-DOM-003;SCNO-DOM-003;AVO;SCNO_EXT;Secc.01-25-01;0+73;730;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SCNO-DOM-003;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.19;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.19/snap.jpg?JpegCam=1
26;1;S1TS-CAM-002;S1TS-CAM-002;S1TS-CAM-002;AVO;S1TS-ZON-001;Secc.01-10-01;37+05;745;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-002;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.1.1/snap.jpg?JpegCam=1
27;3;S1TS-DOM-002;S1TS-DOM-002;S1TS-DOM-002;AVO;S1TS-ZON-002;Secc.01-10-01;37+05;754;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-002;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.1.2;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.1.2/snap.jpg?JpegCam=1
28;3;S1TN-DOM-011;S1TN-DOM-011;S1TN-DOM-011;AVO;S1TN_EXT;Secc.01-11-13;37+09;790;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TN-DOM-011;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.3.2;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.3.2/snap.jpg?JpegCam=1
29;1;S1TS-CAM-003;S1TS-CAM-003;S1TS-CAM-003;AVO;S1TS-ZON-003;Secc.01-10-01;37+16;855;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-003;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.1.3/snap.jpg?JpegCam=1
30;1;S1TS-CAM-004;S1TS-CAM-004;S1TS-CAM-004;AVO;S1TS-ZON-004;Secc.01-10-01;37+25;950;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-004;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.1.4/snap.jpg?JpegCam=1
31;3;S1TS-DOM-003;S1TS-DOM-003;S1TS-DOM-003;AVO;S1TS-ZON-004;Secc.01-10-01;37+30;1003;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-003;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.1.5;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.1.5/snap.jpg?JpegCam=1
32;1;SIGO-CAM-001;SIGO-CAM-001;SIGO-CAM-001;AVO;S1TS-ZON-024;Secc.01-14-03;1+05;1050;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SIGO-CAM-001;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.6.5/snap.jpg?JpegCam=1
33;1;S1TS-CAM-005;S1TS-CAM-005;S1TS-CAM-005;AVO;S1TS-ZON-005;Secc.01-10-01;37+36;1060;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-005;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.1.6/snap.jpg?JpegCam=1
34;3;S1TN-DOM-010;S1TN-DOM-010;S1TN-DOM-010;AVO;S1TN_EXT;Secc.01-11-13;37+40;1100;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TN-DOM-010;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.3.1;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.3.1/snap.jpg?JpegCam=1
35;3;SIGO-DOM-001;SIGO-DOM-001;SIGO-DOM-001;AVO;S1TS-ZON-024;Secc.01-14-03;1+10;1100;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SIGO-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.6.7;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.6.7/snap.jpg?JpegCam=1
36;1;SIGO-CAM-002;SIGO-CAM-002;SIGO-CAM-002;AVO;SIGO-ZON-001;Secc.01-14-03;1+14;1140;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/SIGO-CAM-002;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.6.6/snap.jpg?JpegCam=1
37;1;S1TS-CAM-006;S1TS-CAM-006;S1TS-CAM-006;AVO;S1TS-ZON-006;Secc.01-10-01;37+48;1180;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-006;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.1/snap.jpg?JpegCam=1
39;3;S1TS-DOM-004;S1TS-DOM-004;S1TS-DOM-004;AVO;S1TS-ZON-006;Secc.01-10-01;37+55;1250;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-004;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.3;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.3/snap.jpg?JpegCam=1
40;1;S1TS-CAM-007;S1TS-CAM-007;S1TS-CAM-007;AVO;S1TS-ZON-007;Secc.01-10-01;37+58;1280;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-007;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.2/snap.jpg?JpegCam=1
41;1;S1TS-CAM-008;S1TS-CAM-008;S1TS-CAM-008;AVO;S1TS-ZON-008;Secc.01-10-01;37+67;1370;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-008;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.4/snap.jpg?JpegCam=1
42;3;S1TN-DOM-009;S1TN-DOM-009;S1TN-DOM-009;AVO;S1TN_EXT;Secc.01-11-13;37+73;1430;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TN-DOM-009;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.3.4;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.3.4/snap.jpg?JpegCam=1
43;1;S1TS-CAM-009;S1TS-CAM-009;S1TS-CAM-009;AVO;S1TS-ZON-009;Secc.01-10-01;37+76;1460;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-009;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.5/snap.jpg?JpegCam=1
44;3;S1TS-DOM-005;S1TS-DOM-005;S1TS-DOM-005;AVO;S1TS-ZON-009;Secc.01-10-01;37+80;1495;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-005;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.7;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.7/snap.jpg?JpegCam=1
45;1;S1TS-CAM-010;S1TS-CAM-010;S1TS-CAM-010;AVO;S1TS-ZON-010;Secc.01-10-01;37+87;1565;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-010;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.6/snap.jpg?JpegCam=1
46;1;S1TS-CAM-011;S1TS-CAM-011;S1TS-CAM-011;AVO;S1TS-ZON-011;Secc.01-10-01;37+97;1665;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-011;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.8/snap.jpg?JpegCam=1
47;3;S1TS-DOM-006;S1TS-DOM-006;S1TS-DOM-006;AVO;S1TS-ZON-011;Secc.01-10-02;38+05;1750;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-006;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.2.10;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.2.10/snap.jpg?JpegCam=1
48;1;S1TS-CAM-012;S1TS-CAM-012;S1TS-CAM-012;AVO;S1TS-ZON-012;Secc.01-10-02;38+07;1770;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-012;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.9/snap.jpg?JpegCam=1
49;3;S1TN-DOM-008;S1TN-DOM-008;S1TN-DOM-008;AVO;S1TN_EXT;Secc.01-11-13;38+11;1805;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TN-DOM-008;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.3.3;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.3.3/snap.jpg?JpegCam=1
50;1;S1TS-CAM-013;S1TS-CAM-013;S1TS-CAM-013;AVO;S1TS-ZON-013;Secc.01-10-02;38+18;1880;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-013;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.1/snap.jpg?JpegCam=1
51;1;S1TS-CAM-014;S1TS-CAM-014;S1TS-CAM-014;AVO;S1TS-ZON-014;Secc.01-10-02;38+30;2000;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/S1TS-CAM-014;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.2/snap.jpg?JpegCam=1
