item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;on_change_measure;param6_SENTIDO;param7_CARRIL;param8_POSITION
11;1;CONT-NUB-ILU-NOR-3;CONT-NUB-ILU-NOR-3;CONT-NUB-ILU-NOR-3;Autovía A-4;LT3;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
12;1;CONT-NOC-ILU-NOR-3;CONT-NOC-ILU-NOR-3;CONT-NOC-ILU-NOR-3;Autovía A-4;LT3;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
13;1;CONT-CREP-ILU-NOR-3;CONT-CREP-ILU-NOR-3;CONT-CREP-ILU-NOR-3;Autovía A-4;LT3;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
14;1;CONT-EXT-ILU-NOR-3;CONT-EXT-ILU-NOR-3;CONT-EXT-ILU-NOR-3;Autovía A-4;LT3;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
15;1;CONT-REF-ILU-SUR-3;CONT-REF-ILU-SUR-3;CONT-REF-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
16;1;CONT-NOC-ILU-SUR-3;CONT-NOC-ILU-SUR-3;CONT-NOC-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
17;1;CONT-CREP-ILU-SUR-3;CONT-CREP-ILU-SUR-3;CONT-CREP-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
18;1;CONT-EXT-ILU-SUR-3;CONT-EXT-ILU-SUR-3;CONT-EXT-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
19;1;CONT-SOL-ILU-NOR-4;CONT-SOL-ILU-NOR-4;CONT-SOL-ILU-NOR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
20;1;CONT-NUB-ILU-NOR-4;CONT-NUB-ILU-NOR-4;CONT-NUB-ILU-NOR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
21;1;CONT-NOC-ILU-NOR-4;CONT-NOC-ILU-NOR-4;CONT-NOC-ILU-NOR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
22;1;CONT-CREP-ILU-NOR-4;CONT-CREP-ILU-NOR-4;CONT-CREP-ILU-NOR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
23;1;CONT-EXT-ILU-NOR-4;CONT-EXT-ILU-NOR-4;CONT-EXT-ILU-NOR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
24;1;CONT-SOL-ILU-SUR-4;CONT-SOL-ILU-SUR-4;CONT-SOL-ILU-SUR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
25;1;CONT-NUB-ILU-SUR-4;CONT-NUB-ILU-SUR-4;CONT-NUB-ILU-SUR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
26;1;CONT-NOC-ILU-SUR-4;CONT-NOC-ILU-SUR-4;CONT-NOC-ILU-SUR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
27;1;CONT-CREP-ILU-SUR-4;CONT-CREP-ILU-SUR-4;CONT-CREP-ILU-SUR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
28;1;CONT-EXT-ILU-SUR-4;CONT-EXT-ILU-SUR-4;CONT-EXT-ILU-SUR-4;Autovía A-4;LT4;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
29;1;CONT-SOL-ILU-NOR-1;CONT-SOL-ILU-NOR-1;CONT-SOL-ILU-NOR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
30;1;CONT-NUB-ILU-NOR-1;CONT-NUB-ILU-NOR-1;CONT-NUB-ILU-NOR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
31;1;CONT-NOC-ILU-NOR-1;CONT-NOC-ILU-NOR-1;CONT-NOC-ILU-NOR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
32;1;CONT-CREP-ILU-NOR-1;CONT-CREP-ILU-NOR-1;CONT-CREP-ILU-NOR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
33;1;CONT-EXT-ILU-NOR-1;CONT-EXT-ILU-NOR-1;CONT-EXT-ILU-NOR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
34;1;CONT-SOL-ILU-SUR-1;CONT-SOL-ILU-SUR-1;CONT-SOL-ILU-SUR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
35;1;CONT-NUB-ILU-SUR-1;CONT-NUB-ILU-SUR-1;CONT-NUB-ILU-SUR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
36;1;CONT-NOC-ILU-SUR-1;CONT-NOC-ILU-SUR-1;CONT-NOC-ILU-SUR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
37;1;CONT-CREP-ILU-SUR-1;CONT-CREP-ILU-SUR-1;CONT-CREP-ILU-SUR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
38;1;CONT-EXT-ILU-SUR-1;CONT-EXT-ILU-SUR-1;CONT-EXT-ILU-SUR-1;Autovía A-4;LT1;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy;;;
39;2;SOL-IZQ-1-ILU-SUR-2;SOL-IZQ-1-ILU-SUR-2;SOL-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
40;2;SOL-IZQ-2-ILU-SUR-2;SOL-IZQ-2-ILU-SUR-2;SOL-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
41;2;SOL-IZQ-3-ILU-SUR-2;SOL-IZQ-3-ILU-SUR-2;SOL-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
42;2;SOL-IZQ-4-ILU-SUR-2;SOL-IZQ-4-ILU-SUR-2;SOL-IZQ-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
43;2;NUB-IZQ-1-ILU-SUR-2;NUB-IZQ-1-ILU-SUR-2;NUB-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
44;2;NUB-IZQ-2-ILU-SUR-2;NUB-IZQ-2-ILU-SUR-2;NUB-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
45;2;NUB-IZQ-3-ILU-SUR-2;NUB-IZQ-3-ILU-SUR-2;NUB-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
46;2;NOC-IZQ-ILU-SUR-2;NOC-IZQ-ILU-SUR-2;NOC-IZQ-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
47;2;CREP-IZQ-1-ILU-SUR-2;CREP-IZQ-1-ILU-SUR-2;CREP-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
48;2;CREP-IZQ-2-ILU-SUR-2;CREP-IZQ-2-ILU-SUR-2;CREP-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
49;2;CREP-IZQ-3-ILU-SUR-2;CREP-IZQ-3-ILU-SUR-2;CREP-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
50;2;CREP-IZQ-4-ILU-SUR-2;CREP-IZQ-4-ILU-SUR-2;CREP-IZQ-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
51;2;SOL-DER-1-ILU-SUR-2;SOL-DER-1-ILU-SUR-2;SOL-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
52;2;SOL-DER-2-ILU-SUR-2;SOL-DER-2-ILU-SUR-2;SOL-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
53;2;SOL-DER-3-ILU-SUR-2;SOL-DER-3-ILU-SUR-2;SOL-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
54;2;SOL-DER-4-ILU-SUR-2;SOL-DER-4-ILU-SUR-2;SOL-DER-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
55;2;NUB-DER-1-ILU-SUR-2;NUB-DER-1-ILU-SUR-2;NUB-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
56;2;NUB-DER-2-ILU-SUR-2;NUB-DER-2-ILU-SUR-2;NUB-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
57;2;NUB-DER-3-ILU-SUR-2;NUB-DER-3-ILU-SUR-2;NUB-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
58;2;CREP-DER-1-ILU-SUR-2;CREP-DER-1-ILU-SUR-2;CREP-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
59;2;CREP-DER-2-ILU-SUR-2;CREP-DER-2-ILU-SUR-2;CREP-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
60;2;CREP-DER-3-ILU-SUR-2;CREP-DER-3-ILU-SUR-2;CREP-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
61;2;CREP-DER-4-ILU-SUR-2;CREP-DER-4-ILU-SUR-2;CREP-DER-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
62;2;EXT-ILU-SUR-2;EXT-ILU-SUR-2;EXT-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;;;;;
63;2;CREP-IZQ-ILU-NOR-2;CREP-IZQ-ILU-NOR-2;CREP-IZQ-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
64;2;NOC-IZQ-1-ILU-NOR-2;NOC-IZQ-1-ILU-NOR-2;NOC-IZQ-1-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
65;2;NOC-IZQ-2-ILU-NOR-2;NOC-IZQ-2-ILU-NOR-2;NOC-IZQ-2-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
66;2;REF-IZQ-1-ILU-NOR-2;REF-IZQ-1-ILU-NOR-2;REF-IZQ-1-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
67;2;REF-IZQ-2-ILU-NOR-2;REF-IZQ-2-ILU-NOR-2;REF-IZQ-2-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
68;2;REF-IZQ-3-ILU-NOR-2;REF-IZQ-3-ILU-NOR-2;REF-IZQ-3-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
69;2;CREP-DER-ILU-NOR-2;CREP-DER-ILU-NOR-2;CREP-DER-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
70;2;REF-DER-1-ILU-NOR-2;REF-DER-1-ILU-NOR-2;REF-DER-1-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
71;2;REF-DER-2-ILU-NOR-2;REF-DER-2-ILU-NOR-2;REF-DER-2-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
72;2;REF-DER-3-ILU-NOR-2;REF-DER-3-ILU-NOR-2;REF-DER-3-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
73;2;EXT-ILU-NOR-2;EXT-ILU-NOR-2;EXT-ILU-NOR-2;Autovía A-4;LT2;;Madrid;;;;;
74;2;SOL-IZQ-1-ILU-NOR-3;SOL-IZQ-1-ILU-NOR-3;SOL-IZQ-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
75;2;SOL-IZQ-2-ILU-NOR-3;SOL-IZQ-2-ILU-NOR-3;SOL-IZQ-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
76;2;SOL-IZQ-3-ILU-NOR-3;SOL-IZQ-3-ILU-NOR-3;SOL-IZQ-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
77;2;SOL-IZQ-4-ILU-NOR-3;SOL-IZQ-4-ILU-NOR-3;SOL-IZQ-4-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
78;2;NUB-IZQ-1-ILU-NOR-3;NUB-IZQ-1-ILU-NOR-3;NUB-IZQ-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
79;2;NUB-IZQ-2-ILU-NOR-3;NUB-IZQ-2-ILU-NOR-3;NUB-IZQ-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
80;2;NUB-IZQ-3-ILU-NOR-3;NUB-IZQ-3-ILU-NOR-3;NUB-IZQ-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
81;2;NOC-IZQ-ILU-NOR-3;NOC-IZQ-ILU-NOR-3;NOC-IZQ-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
82;2;CREP-IZQ-1-ILU-NOR-3;CREP-IZQ-1-ILU-NOR-3;CREP-IZQ-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
83;2;CREP-IZQ-2-ILU-NOR-3;CREP-IZQ-2-ILU-NOR-3;CREP-IZQ-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
84;2;CREP-IZQ-3-ILU-NOR-3;CREP-IZQ-3-ILU-NOR-3;CREP-IZQ-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
85;2;SOL-DER-1-ILU-NOR-3;SOL-DER-1-ILU-NOR-3;SOL-DER-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
86;2;SOL-DER-2-ILU-NOR-3;SOL-DER-2-ILU-NOR-3;SOL-DER-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
87;2;SOL-DER-3-ILU-NOR-3;SOL-DER-3-ILU-NOR-3;SOL-DER-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
88;2;SOL-DER-4-ILU-NOR-3;SOL-DER-4-ILU-NOR-3;SOL-DER-4-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
89;2;NUB-DER-1-ILU-NOR-3;NUB-DER-1-ILU-NOR-3;NUB-DER-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
90;2;NUB-DER-2-ILU-NOR-3;NUB-DER-2-ILU-NOR-3;NUB-DER-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
91;2;NUB-DER-3-ILU-NOR-3;NUB-DER-3-ILU-NOR-3;NUB-DER-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
92;2;CREP-DER-1-ILU-NOR-3;CREP-DER-1-ILU-NOR-3;CREP-DER-1-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
93;2;CREP-DER-2-ILU-NOR-3;CREP-DER-2-ILU-NOR-3;CREP-DER-2-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
94;2;CREP-DER-3-ILU-NOR-3;CREP-DER-3-ILU-NOR-3;CREP-DER-3-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
95;2;EXT-ILU-NOR-3;EXT-ILU-NOR-3;EXT-ILU-NOR-3;Autovía A-4;LT3;;Madrid;;;;;
96;2;CREP-IZQ-ILU-SUR-3;CREP-IZQ-ILU-SUR-3;CREP-IZQ-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
97;2;NOC-IZQ-1-ILU-SUR-3;NOC-IZQ-1-ILU-SUR-3;NOC-IZQ-1-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
98;2;NOC-IZQ-2-ILU-SUR-3;NOC-IZQ-2-ILU-SUR-3;NOC-IZQ-2-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
99;2;REF-IZQ-1-ILU-SUR-3;REF-IZQ-1-ILU-SUR-3;REF-IZQ-1-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
100;2;REF-IZQ-2-ILU-SUR-3;REF-IZQ-2-ILU-SUR-3;REF-IZQ-2-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
101;2;REF-IZQ-3-ILU-SUR-3;REF-IZQ-3-ILU-SUR-3;REF-IZQ-3-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
102;2;CREP-DER-ILU-SUR-3;CREP-DER-ILU-SUR-3;CREP-DER-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
103;2;REF-DER-1-ILU-SUR-3;REF-DER-1-ILU-SUR-3;REF-DER-1-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
104;2;REF-DER-2-ILU-SUR-3;REF-DER-2-ILU-SUR-3;REF-DER-2-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
105;2;REF-DER-3-ILU-SUR-3;REF-DER-3-ILU-SUR-3;REF-DER-3-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
106;2;EXT-ILU-SUR-3;EXT-ILU-SUR-3;EXT-ILU-SUR-3;Autovía A-4;LT3;;Córdoba;;;;;
107;2;SOL-IZQ-1-ILU-NOR-4;SOL-IZQ-1-ILU-NOR-4;SOL-IZQ-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
108;2;SOL-IZQ-2-ILU-NOR-4;SOL-IZQ-2-ILU-NOR-4;SOL-IZQ-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
109;2;SOL-IZQ-3-ILU-NOR-4;SOL-IZQ-3-ILU-NOR-4;SOL-IZQ-3-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
110;2;SOL-IZQ-4-ILU-NOR-4;SOL-IZQ-4-ILU-NOR-4;SOL-IZQ-4-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
111;2;NUB-IZQ-1-ILU-NOR-4;NUB-IZQ-1-ILU-NOR-4;NUB-IZQ-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
112;2;NUB-IZQ-2-ILU-NOR-4;NUB-IZQ-2-ILU-NOR-4;NUB-IZQ-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
113;2;NOC-IZQ-ILU-NOR-4;NOC-IZQ-ILU-NOR-4;NOC-IZQ-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
114;2;CREP-IZQ-1-ILU-NOR-4;CREP-IZQ-1-ILU-NOR-4;CREP-IZQ-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
115;2;CREP-IZQ-2-ILU-NOR-4;CREP-IZQ-2-ILU-NOR-4;CREP-IZQ-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
116;2;SOL-DER-1-ILU-NOR-4;SOL-DER-1-ILU-NOR-4;SOL-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
117;2;SOL-DER-2-ILU-NOR-4;SOL-DER-2-ILU-NOR-4;SOL-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
118;2;SOL-DER-3-ILU-NOR-4;SOL-DER-3-ILU-NOR-4;SOL-DER-3-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
119;2;SOL-DER-4-ILU-NOR-4;SOL-DER-4-ILU-NOR-4;SOL-DER-4-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
120;2;NUB-DER-1-ILU-NOR-4;NUB-DER-1-ILU-NOR-4;NUB-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
121;2;NUB-DER-2-ILU-NOR-4;NUB-DER-2-ILU-NOR-4;NUB-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
122;2;CREP-DER-1-ILU-NOR-4;CREP-DER-1-ILU-NOR-4;CREP-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
123;2;CREP-DER-2-ILU-NOR-4;CREP-DER-2-ILU-NOR-4;CREP-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
124;2;EXT-ENT-ILU-NOR-4;EXT-ENT-ILU-NOR-4;EXT-ENT-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
125;2;EXT-SAL-ILU-NOR-4;EXT-SAL-ILU-NOR-4;EXT-SAL-ILU-NOR-4;Autovía A-4;LT4;;;;;;;
126;2;SOL-IZQ-1-ILU-SUR-4;SOL-IZQ-1-ILU-SUR-4;SOL-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
127;2;SOL-IZQ-2-ILU-SUR-4;SOL-IZQ-2-ILU-SUR-4;SOL-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
128;2;SOL-IZQ-3-ILU-SUR-4;SOL-IZQ-3-ILU-SUR-4;SOL-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
129;2;SOL-IZQ-4-ILU-SUR-4;SOL-IZQ-4-ILU-SUR-4;SOL-IZQ-4-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
130;2;NUB-IZQ-1-ILU-SUR-4;NUB-IZQ-1-ILU-SUR-4;NUB-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
131;2;NUB-IZQ-2-ILU-SUR-4;NUB-IZQ-2-ILU-SUR-4;NUB-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
132;2;NUB-IZQ-3-ILU-SUR-4;NUB-IZQ-3-ILU-SUR-4;NUB-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
133;2;NOC-IZQ-ILU-SUR-4;NOC-IZQ-ILU-SUR-4;NOC-IZQ-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
134;2;CREP-IZQ-1-ILU-SUR-4;CREP-IZQ-1-ILU-SUR-4;CREP-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
135;2;CREP-IZQ-2-ILU-SUR-4;CREP-IZQ-2-ILU-SUR-4;CREP-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
136;2;CREP-IZQ-3-ILU-SUR-4;CREP-IZQ-3-ILU-SUR-4;CREP-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
137;2;SOL-DER-1-ILU-SUR-4;SOL-DER-1-ILU-SUR-4;SOL-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
138;2;SOL-DER-2-ILU-SUR-4;SOL-DER-2-ILU-SUR-4;SOL-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
139;2;SOL-DER-3-ILU-SUR-4;SOL-DER-3-ILU-SUR-4;SOL-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
140;2;SOL-DER-4-ILU-SUR-4;SOL-DER-4-ILU-SUR-4;SOL-DER-4-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
141;2;NUB-DER-1-ILU-SUR-4;NUB-DER-1-ILU-SUR-4;NUB-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
142;2;NUB-DER-2-ILU-SUR-4;NUB-DER-2-ILU-SUR-4;NUB-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
143;2;NUB-DER-3-ILU-SUR-4;NUB-DER-3-ILU-SUR-4;NUB-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
144;2;CREP-DER-1-ILU-SUR-4;CREP-DER-1-ILU-SUR-4;CREP-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
145;2;CREP-DER-2-ILU-SUR-4;CREP-DER-2-ILU-SUR-4;CREP-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
146;2;CREP-DER-3-ILU-SUR-4;CREP-DER-3-ILU-SUR-4;CREP-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
147;2;EXT-ENT-ILU-SUR-4;EXT-ENT-ILU-SUR-4;EXT-ENT-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
148;2;EXT-SAL-ILU-SUR-4;EXT-SAL-ILU-SUR-4;EXT-SAL-ILU-SUR-4;Autovía A-4;LT4;;;;;;;
149;2;SOL-IZQ-1-ILU-NOR-1;SOL-IZQ-1-ILU-NOR-1;SOL-IZQ-1-ILU-NOR-1;Autovía A-4;LT1;;;;;;;
150;2;SOL-IZQ-2-ILU-NOR-1;SOL-IZQ-2-ILU-NOR-1;SOL-IZQ-2-ILU-NOR-1;Autovía A-4;LT1;;;;;;;
151;2;SOL-IZQ-3-ILU-NOR-1;SOL-IZQ-3-ILU-NOR-1;SOL-IZQ-3-ILU-NOR-1;Autovía A-4;LT1;;;;;;;
152;2;SOL-IZQ-4-ILU-NOR-1;SOL-IZQ-4-ILU-NOR-1;SOL-IZQ-4-ILU-NOR-1;Autovía A-4;LT1;;;;;;;
